prname,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,numtoday,deathstoday,testedtoday,recoveredtoday,numactive,rateactive
Manitoba,2020-04-30,264,11,6.0,275,24304.0,220.0,80.0,2,0.0,487.0,7.0,49.0,3.58
Manitoba,2020-05-01,268,11,6.0,279,24975.0,235.0,84.23,4,0.0,671.0,15.0,38.0,2.77
Manitoba,2020-05-02,269,11,6.0,280,25736.0,236.0,84.29,1,0.0,761.0,1.0,38.0,2.77
Manitoba,2020-05-03,270,11,6.0,281,26253.0,237.0,84.34,1,0.0,517.0,1.0,38.0,2.77
Manitoba,2020-05-04,270,11,6.0,281,26857.0,238.0,84.7,0,0.0,604.0,1.0,37.0,2.7
Manitoba,2020-05-05,271,11,7.0,282,27202.0,238.0,84.4,1,1.0,345.0,0.0,37.0,2.7
Manitoba,2020-05-06,273,11,7.0,284,27712.0,242.0,85.21,2,0.0,510.0,4.0,35.0,2.56
Manitoba,2020-05-07,272,11,7.0,283,28232.0,243.0,85.87,-1,0.0,520.0,1.0,33.0,2.41
Manitoba,2020-05-08,273,11,7.0,284,28742.0,247.0,86.97,1,0.0,510.0,4.0,30.0,2.19
Manitoba,2020-05-09,273,11,7.0,284,29438.0,247.0,86.97,0,0.0,696.0,0.0,30.0,2.19
Manitoba,2020-05-10,276,11,7.0,287,30046.0,247.0,86.06,3,0.0,608.0,0.0,33.0,2.41
Manitoba,2020-05-11,278,11,7.0,289,30398.0,247.0,85.47,2,0.0,352.0,0.0,35.0,2.56
Manitoba,2020-05-12,279,11,7.0,290,30799.0,251.0,86.55,1,0.0,401.0,4.0,32.0,2.34
Manitoba,2020-05-13,279,11,7.0,290,31416.0,251.0,86.55,0,0.0,617.0,0.0,32.0,2.34
Manitoba,2020-05-14,278,11,7.0,289,31742.0,252.0,87.2,-1,0.0,326.0,1.0,30.0,2.19
Manitoba,2020-05-15,278,11,7.0,289,32492.0,254.0,87.89,0,0.0,750.0,2.0,28.0,2.04
Manitoba,2020-05-16,278,11,7.0,289,33295.0,257.0,88.93,0,0.0,803.0,3.0,25.0,1.83
Manitoba,2020-05-17,278,11,7.0,289,34042.0,257.0,88.93,0,0.0,747.0,0.0,25.0,1.83
Manitoba,2020-05-18,279,11,7.0,290,34498.0,257.0,88.62,1,0.0,456.0,0.0,26.0,1.9
Manitoba,2020-05-19,279,11,7.0,290,34892.0,257.0,88.62,0,0.0,394.0,0.0,26.0,1.9
Manitoba,2020-05-20,279,11,7.0,290,35133.0,257.0,88.62,0,0.0,241.0,0.0,26.0,1.9
Manitoba,2020-05-21,279,11,7.0,290,35723.0,265.0,91.38,0,0.0,590.0,8.0,18.0,1.31
Manitoba,2020-05-22,281,11,7.0,292,36590.0,267.0,91.44,2,0.0,867.0,2.0,18.0,1.31
Manitoba,2020-05-23,281,11,7.0,292,37025.0,268.0,91.78,0,0.0,435.0,1.0,17.0,1.24
Manitoba,2020-05-24,281,11,7.0,292,37903.0,268.0,91.78,0,0.0,878.0,0.0,17.0,1.24
Manitoba,2020-05-25,281,11,7.0,292,38072.0,268.0,91.78,0,0.0,169.0,0.0,17.0,1.24
Manitoba,2020-05-26,281,11,7.0,292,38775.0,269.0,92.12,0,0.0,703.0,1.0,16.0,1.17
Manitoba,2020-05-27,281,11,7.0,292,39790.0,271.0,92.81,0,0.0,1015.0,2.0,14.0,1.02
Manitoba,2020-05-28,283,11,7.0,294,40709.0,273.0,92.86,2,0.0,919.0,2.0,14.0,1.02
Manitoba,2020-05-29,283,11,7.0,294,41578.0,273.0,92.86,0,0.0,869.0,0.0,14.0,1.02
Manitoba,2020-05-30,283,11,7.0,294,41578.0,278.0,94.56,0,0.0,0.0,5.0,9.0,0.66
Manitoba,2020-05-31,284,11,7.0,295,41578.0,278.0,94.24,1,0.0,0.0,0.0,10.0,0.73
Manitoba,2020-06-01,284,11,7.0,295,43807.0,278.0,94.24,0,0.0,2229.0,0.0,10.0,0.73
Manitoba,2020-06-02,286,11,7.0,297,44400.0,278.0,93.6,2,0.0,593.0,0.0,12.0,0.88
Manitoba,2020-06-03,287,11,7.0,298,45128.0,282.0,94.63,1,0.0,728.0,4.0,9.0,0.66
Manitoba,2020-06-04,287,11,7.0,298,46033.0,284.0,95.3,0,0.0,905.0,2.0,7.0,0.51
Manitoba,2020-06-05,289,11,7.0,300,46668.0,284.0,94.67,2,0.0,635.0,0.0,9.0,0.66
Manitoba,2020-06-06,289,11,7.0,300,46668.0,284.0,94.67,0,0.0,0.0,0.0,9.0,0.66
Manitoba,2020-06-07,289,11,7.0,300,46668.0,284.0,94.67,0,0.0,0.0,0.0,9.0,0.66
Manitoba,2020-06-08,289,11,7.0,300,48706.0,284.0,94.67,0,0.0,2038.0,0.0,9.0,0.66
Manitoba,2020-06-09,289,11,7.0,300,49296.0,285.0,95.0,0,0.0,590.0,1.0,8.0,0.58
Manitoba,2020-06-10,289,11,7.0,300,49929.0,285.0,95.0,0,0.0,633.0,0.0,8.0,0.58
Manitoba,2020-06-11,289,11,7.0,300,50663.0,286.0,95.33,0,0.0,734.0,1.0,7.0,0.51
Manitoba,2020-06-12,290,11,7.0,301,51402.0,289.0,96.01,1,0.0,739.0,3.0,5.0,0.37
Manitoba,2020-06-13,292,11,7.0,303,52048.0,289.0,95.38,2,0.0,646.0,0.0,7.0,0.51
Manitoba,2020-06-14,293,11,7.0,304,52650.0,289.0,95.07,1,0.0,602.0,0.0,8.0,0.58
Manitoba,2020-06-15,293,11,7.0,304,53342.0,292.0,96.05,0,0.0,692.0,3.0,5.0,0.37
Manitoba,2020-06-16,293,11,7.0,304,53860.0,292.0,96.05,0,0.0,518.0,0.0,5.0,0.37
Manitoba,2020-06-17,295,11,7.0,306,54204.0,293.0,95.75,2,0.0,344.0,1.0,6.0,0.44
Manitoba,2020-06-18,297,11,7.0,308,54842.0,293.0,95.13,2,0.0,638.0,0.0,8.0,0.58
Manitoba,2020-06-19,300,11,7.0,311,55401.0,293.0,94.21,3,0.0,559.0,0.0,11.0,0.8
Manitoba,2020-06-20,302,11,7.0,313,56147.0,293.0,93.61,2,0.0,746.0,0.0,13.0,0.95
Manitoba,2020-06-21,302,11,7.0,313,56847.0,293.0,93.61,0,0.0,700.0,0.0,13.0,0.95
Manitoba,2020-06-22,303,11,7.0,314,57149.0,293.0,93.31,1,0.0,302.0,0.0,14.0,1.02
Manitoba,2020-06-23,303,11,7.0,314,57784.0,293.0,93.31,0,0.0,635.0,0.0,14.0,1.02
Manitoba,2020-06-24,304,11,7.0,315,58358.0,293.0,93.02,1,0.0,574.0,0.0,15.0,1.1
Manitoba,2020-06-25,305,11,7.0,316,58749.0,294.0,93.04,1,0.0,391.0,1.0,15.0,1.1
Manitoba,2020-06-26,307,11,7.0,318,59772.0,300.0,94.34,2,0.0,1023.0,6.0,11.0,0.8
Manitoba,2020-06-27,311,11,7.0,322,60486.0,300.0,93.17,4,0.0,714.0,0.0,15.0,1.1
Manitoba,2020-06-28,311,11,7.0,322,61444.0,300.0,93.17,0,0.0,958.0,0.0,15.0,1.1
Manitoba,2020-06-29,313,11,7.0,324,61881.0,300.0,92.59,2,0.0,437.0,0.0,17.0,1.24
Manitoba,2020-06-30,314,11,7.0,325,62182.0,300.0,92.31,1,0.0,301.0,0.0,18.0,1.31
Manitoba,2020-07-01,314,11,7.0,325,62182.0,300.0,92.31,0,0.0,0.0,0.0,18.0,1.31
Manitoba,2020-07-02,314,11,7.0,325,63265.0,300.0,92.31,0,0.0,1083.0,0.0,18.0,1.31
Manitoba,2020-07-03,314,11,7.0,325,63715.0,302.0,92.92,0,0.0,450.0,2.0,16.0,1.17
Manitoba,2020-07-04,314,11,7.0,325,63715.0,302.0,92.92,0,0.0,0.0,0.0,16.0,1.17
Manitoba,2020-07-05,314,11,7.0,325,63715.0,302.0,92.92,0,0.0,0.0,0.0,16.0,1.17
Manitoba,2020-07-06,314,11,7.0,325,65298.0,304.0,93.54,0,0.0,1583.0,2.0,14.0,1.02
Manitoba,2020-07-07,314,11,7.0,325,65680.0,307.0,94.46,0,0.0,382.0,3.0,11.0,0.8
Manitoba,2020-07-08,314,11,7.0,325,66370.0,312.0,96.0,0,0.0,690.0,5.0,6.0,0.44
Manitoba,2020-07-09,314,11,7.0,325,66825.0,314.0,96.62,0,0.0,455.0,2.0,4.0,0.29
Manitoba,2020-07-10,314,11,7.0,325,67706.0,314.0,96.62,0,0.0,881.0,0.0,4.0,0.29
Manitoba,2020-07-11,314,11,7.0,325,67706.0,314.0,96.62,0,0.0,0.0,0.0,4.0,0.29
Manitoba,2020-07-12,314,11,7.0,325,67706.0,314.0,96.62,0,0.0,0.0,0.0,4.0,0.29
Manitoba,2020-07-13,314,11,7.0,325,70047.0,317.0,97.54,0,0.0,2341.0,3.0,1.0,0.07
Manitoba,2020-07-14,319,11,7.0,330,70351.0,318.0,96.36,5,0.0,304.0,1.0,5.0,0.37
Manitoba,2020-07-15,319,11,7.0,330,70830.0,318.0,96.36,0,0.0,479.0,0.0,5.0,0.37
Manitoba,2020-07-16,320,11,7.0,331,71534.0,318.0,96.07,1,0.0,704.0,0.0,6.0,0.44
Manitoba,2020-07-17,325,11,7.0,336,72334.0,318.0,94.64,5,0.0,800.0,0.0,11.0,0.8
Manitoba,2020-07-18,326,11,7.0,337,72334.0,318.0,94.36,1,0.0,0.0,0.0,12.0,0.88
Manitoba,2020-07-19,332,11,7.0,343,72334.0,318.0,92.71,6,0.0,0.0,0.0,18.0,1.31
Manitoba,2020-07-20,343,11,7.0,354,74634.0,318.0,89.83,11,0.0,2300.0,0.0,29.0,2.12
Manitoba,2020-07-21,353,13,7.0,366,75868.0,318.0,86.89,12,0.0,1234.0,0.0,41.0,2.99
Manitoba,2020-07-22,361,13,7.0,374,76604.0,318.0,85.03,8,0.0,736.0,0.0,49.0,3.58
Manitoba,2020-07-23,362,13,7.0,375,77805.0,319.0,85.07,1,0.0,1201.0,1.0,49.0,3.58
Manitoba,2020-07-24,371,13,7.0,384,79194.0,319.0,83.07,9,0.0,1389.0,0.0,58.0,4.24
Manitoba,2020-07-25,375,13,7.0,388,79194.0,319.0,82.22,4,0.0,0.0,0.0,62.0,4.53
Manitoba,2020-07-26,381,13,7.0,394,79194.0,319.0,80.96,6,0.0,0.0,0.0,68.0,4.97
Manitoba,2020-07-27,387,13,7.0,400,82893.0,319.0,79.75,6,0.0,3699.0,0.0,74.0,5.4
Manitoba,2020-07-28,391,14,8.0,405,83790.0,319.0,78.77,5,1.0,897.0,0.0,78.0,5.7
Manitoba,2020-07-29,393,14,8.0,407,84415.0,325.0,79.85,2,0.0,625.0,6.0,74.0,5.4
New Brunswick,2020-03-11,0,0,0.0,0,22.0,0.0,0.0,0,0.0,22.0,0.0,,0.0
New Brunswick,2020-03-12,0,1,0.0,1,44.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0.13
New Brunswick,2020-03-13,1,0,0.0,1,44.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.13
New Brunswick,2020-03-14,1,1,0.0,2,82.0,0.0,0.0,1,0.0,38.0,0.0,2.0,0.26
New Brunswick,2020-03-15,1,1,0.0,2,82.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.26
New Brunswick,2020-03-16,1,5,0.0,6,143.0,0.0,0.0,4,0.0,61.0,0.0,6.0,0.77
New Brunswick,2020-03-17,2,5,0.0,7,295.0,0.0,0.0,1,0.0,152.0,0.0,7.0,0.9
New Brunswick,2020-03-18,2,6,0.0,8,408.0,0.0,0.0,1,0.0,113.0,0.0,8.0,1.03
New Brunswick,2020-03-19,7,4,0.0,11,527.0,0.0,0.0,3,0.0,119.0,0.0,11.0,1.42
New Brunswick,2020-03-20,7,4,0.0,11,640.0,0.0,0.0,0,0.0,113.0,0.0,11.0,1.42
New Brunswick,2020-03-21,9,8,0.0,17,865.0,0.0,0.0,6,0.0,225.0,0.0,17.0,2.19
New Brunswick,2020-03-22,9,8,0.0,17,924.0,0.0,0.0,0,0.0,59.0,0.0,17.0,2.19
New Brunswick,2020-03-23,9,8,0.0,17,1139.0,0.0,0.0,0,0.0,215.0,0.0,17.0,2.19
New Brunswick,2020-03-24,18,0,0.0,18,1261.0,0.0,0.0,1,0.0,122.0,0.0,18.0,2.32
New Brunswick,2020-03-25,26,0,0.0,26,1680.0,0.0,0.0,8,0.0,419.0,0.0,26.0,3.35
New Brunswick,2020-03-26,33,0,0.0,33,1849.0,0.0,0.0,7,0.0,169.0,0.0,33.0,4.25
New Brunswick,2020-03-27,45,0,0.0,45,2179.0,1.0,2.22,12,0.0,330.0,1.0,44.0,5.66
New Brunswick,2020-03-28,51,0,0.0,51,2512.0,2.0,3.92,6,0.0,333.0,1.0,49.0,6.31
New Brunswick,2020-03-29,66,0,0.0,66,2847.0,2.0,3.03,15,0.0,335.0,0.0,64.0,8.24
New Brunswick,2020-03-30,68,0,0.0,68,3267.0,2.0,2.94,2,0.0,420.0,0.0,66.0,8.5
New Brunswick,2020-03-31,70,0,0.0,70,3630.0,9.0,12.86,2,0.0,363.0,7.0,61.0,7.85
New Brunswick,2020-04-01,81,0,0.0,81,4121.0,14.0,17.28,11,0.0,491.0,5.0,67.0,8.62
New Brunswick,2020-04-02,91,0,0.0,91,4625.0,22.0,24.18,10,0.0,504.0,8.0,69.0,8.88
New Brunswick,2020-04-03,95,0,0.0,95,5036.0,22.0,24.18,4,0.0,411.0,8.0,95.0,12.23
New Brunswick,2020-04-04,98,0,0.0,98,5297.0,22.0,24.18,3,0.0,261.0,8.0,98.0,12.62
New Brunswick,2020-04-05,101,0,0.0,101,5421.0,28.0,27.72,3,0.0,124.0,28.0,73.0,9.4
New Brunswick,2020-04-06,103,0,0.0,103,5678.0,30.0,29.13,2,0.0,257.0,2.0,73.0,9.4
New Brunswick,2020-04-07,105,0,0.0,105,6102.0,30.0,29.13,2,0.0,424.0,2.0,105.0,13.52
New Brunswick,2020-04-08,108,0,0.0,108,6477.0,30.0,29.13,3,0.0,375.0,2.0,108.0,13.9
New Brunswick,2020-04-09,111,0,0.0,111,6949.0,30.0,29.13,3,0.0,472.0,2.0,111.0,14.29
New Brunswick,2020-04-10,112,0,0.0,112,7299.0,30.0,29.13,1,0.0,350.0,2.0,112.0,14.42
New Brunswick,2020-04-11,112,0,0.0,112,7500.0,30.0,29.13,0,0.0,201.0,2.0,112.0,14.42
New Brunswick,2020-04-12,114,0,0.0,114,7760.0,30.0,29.13,2,0.0,260.0,2.0,114.0,14.68
New Brunswick,2020-04-13,116,0,0.0,116,8004.0,30.0,29.13,2,0.0,244.0,2.0,116.0,14.93
New Brunswick,2020-04-14,116,0,0.0,116,8229.0,30.0,29.13,0,0.0,225.0,2.0,116.0,14.93
New Brunswick,2020-04-15,117,0,0.0,117,8674.0,30.0,29.13,1,0.0,445.0,2.0,117.0,15.06
New Brunswick,2020-04-16,117,0,0.0,117,8945.0,30.0,29.13,0,0.0,271.0,2.0,117.0,15.06
New Brunswick,2020-04-17,117,0,0.0,117,9684.0,30.0,29.13,0,0.0,739.0,2.0,117.0,15.06
New Brunswick,2020-04-18,118,0,0.0,118,9958.0,87.0,73.73,1,0.0,274.0,87.0,31.0,3.99
New Brunswick,2020-04-19,118,0,0.0,118,10290.0,92.0,77.97,0,0.0,332.0,5.0,26.0,3.35
New Brunswick,2020-04-20,118,0,0.0,118,10492.0,98.0,83.05,0,0.0,202.0,6.0,20.0,2.57
New Brunswick,2020-04-21,118,0,0.0,118,10799.0,102.0,86.44,0,0.0,307.0,4.0,16.0,2.06
New Brunswick,2020-04-22,118,0,0.0,118,11121.0,104.0,88.14,0,0.0,322.0,2.0,14.0,1.8
New Brunswick,2020-04-23,118,0,0.0,118,11616.0,104.0,88.14,0,0.0,495.0,0.0,14.0,1.8
New Brunswick,2020-04-24,118,0,0.0,118,11908.0,107.0,90.68,0,0.0,292.0,3.0,11.0,1.42
New Brunswick,2020-04-25,118,0,0.0,118,12279.0,107.0,90.68,0,0.0,371.0,0.0,11.0,1.42
New Brunswick,2020-04-26,118,0,0.0,118,12525.0,111.0,94.07,0,0.0,246.0,4.0,7.0,0.9
New Brunswick,2020-04-27,118,0,0.0,118,12648.0,112.0,94.92,0,0.0,123.0,1.0,6.0,0.77
New Brunswick,2020-04-28,118,0,0.0,118,12907.0,114.0,96.61,0,0.0,259.0,2.0,4.0,0.51
New Brunswick,2020-04-29,118,0,0.0,118,13121.0,114.0,96.61,0,0.0,214.0,0.0,4.0,0.51
New Brunswick,2020-04-30,118,0,0.0,118,13598.0,114.0,96.61,0,0.0,477.0,0.0,4.0,0.51
New Brunswick,2020-05-01,118,0,0.0,118,13998.0,116.0,98.31,0,0.0,400.0,2.0,2.0,0.26
New Brunswick,2020-05-02,118,0,0.0,118,14252.0,118.0,100.0,0,0.0,254.0,2.0,0.0,0.0
New Brunswick,2020-05-03,118,0,0.0,118,14559.0,118.0,100.0,0,0.0,307.0,0.0,0.0,0.0
New Brunswick,2020-05-04,118,0,0.0,118,14559.0,118.0,100.0,0,0.0,0.0,0.0,0.0,0.0
New Brunswick,2020-05-05,119,0,0.0,119,14982.0,118.0,99.16,1,0.0,423.0,0.0,1.0,0.13
New Brunswick,2020-05-06,120,0,0.0,120,15324.0,118.0,98.33,1,0.0,342.0,0.0,2.0,0.26
New Brunswick,2020-05-07,120,0,0.0,120,15700.0,118.0,98.33,0,0.0,376.0,0.0,2.0,0.26
New Brunswick,2020-05-08,120,0,0.0,120,16068.0,118.0,98.33,0,0.0,368.0,0.0,2.0,0.26
New Brunswick,2020-05-09,120,0,0.0,120,16417.0,118.0,98.33,0,0.0,349.0,0.0,2.0,0.26
New Brunswick,2020-05-10,120,0,0.0,120,16750.0,118.0,98.33,0,0.0,333.0,0.0,2.0,0.26
New Brunswick,2020-05-11,120,0,0.0,120,17184.0,118.0,98.33,0,0.0,434.0,0.0,2.0,0.26
New Brunswick,2020-05-12,120,0,0.0,120,17339.0,118.0,98.33,0,0.0,155.0,0.0,2.0,0.26
New Brunswick,2020-05-13,120,0,0.0,120,17765.0,118.0,98.33,0,0.0,426.0,0.0,2.0,0.26
New Brunswick,2020-05-14,120,0,0.0,120,18172.0,118.0,98.33,0,0.0,407.0,0.0,2.0,0.26
New Brunswick,2020-05-15,120,0,0.0,120,18587.0,119.0,99.17,0,0.0,415.0,1.0,1.0,0.13
New Brunswick,2020-05-16,120,0,0.0,120,18775.0,120.0,100.0,0,0.0,188.0,1.0,0.0,0.0
New Brunswick,2020-05-17,120,0,0.0,120,19010.0,120.0,100.0,0,0.0,235.0,0.0,0.0,0.0
New Brunswick,2020-05-18,120,0,0.0,120,19260.0,120.0,100.0,0,0.0,250.0,0.0,0.0,0.0
New Brunswick,2020-05-19,120,0,0.0,120,19453.0,120.0,100.0,0,0.0,193.0,0.0,0.0,0.0
New Brunswick,2020-05-20,120,0,0.0,120,19745.0,120.0,100.0,0,0.0,292.0,0.0,0.0,0.0
New Brunswick,2020-05-21,121,0,0.0,121,20104.0,120.0,99.17,1,0.0,359.0,0.0,1.0,0.13
New Brunswick,2020-05-22,121,0,0.0,121,20309.0,120.0,99.17,0,0.0,205.0,0.0,1.0,0.13
New Brunswick,2020-05-23,121,0,0.0,121,20563.0,120.0,99.17,0,0.0,254.0,0.0,1.0,0.13
New Brunswick,2020-05-24,121,0,0.0,121,20764.0,120.0,99.17,0,0.0,201.0,0.0,1.0,0.13
New Brunswick,2020-05-25,121,0,0.0,121,21032.0,120.0,99.17,0,0.0,268.0,0.0,1.0,0.13
New Brunswick,2020-05-26,122,0,0.0,122,21320.0,120.0,98.36,1,0.0,288.0,0.0,2.0,0.26
New Brunswick,2020-05-27,123,0,0.0,123,21644.0,120.0,97.56,1,0.0,324.0,0.0,3.0,0.39
New Brunswick,2020-05-28,126,0,0.0,126,21980.0,120.0,95.24,3,0.0,336.0,0.0,6.0,0.77
New Brunswick,2020-05-29,128,0,0.0,128,22508.0,120.0,93.75,2,0.0,528.0,0.0,8.0,1.03
New Brunswick,2020-05-30,129,0,0.0,129,23157.0,120.0,93.02,1,0.0,649.0,0.0,9.0,1.16
New Brunswick,2020-05-31,132,0,0.0,132,24667.0,120.0,90.91,3,0.0,1510.0,0.0,12.0,1.54
New Brunswick,2020-06-01,132,0,0.0,132,26829.0,120.0,90.91,0,0.0,2162.0,0.0,12.0,1.54
New Brunswick,2020-06-02,133,0,0.0,133,28827.0,120.0,90.23,1,0.0,1998.0,0.0,13.0,1.67
New Brunswick,2020-06-03,135,0,0.0,135,29777.0,120.0,88.89,2,0.0,950.0,0.0,15.0,1.93
New Brunswick,2020-06-04,136,0,1.0,136,30270.0,120.0,88.24,1,1.0,493.0,0.0,15.0,1.93
New Brunswick,2020-06-05,136,0,1.0,136,30645.0,121.0,88.97,0,0.0,375.0,1.0,14.0,1.8
New Brunswick,2020-06-06,136,0,1.0,136,31083.0,121.0,88.97,0,0.0,438.0,0.0,14.0,1.8
New Brunswick,2020-06-07,137,0,1.0,137,31445.0,121.0,88.32,1,0.0,362.0,0.0,15.0,1.93
New Brunswick,2020-06-08,146,0,1.0,146,31781.0,121.0,82.88,9,0.0,336.0,0.0,24.0,3.09
New Brunswick,2020-06-09,147,0,1.0,147,32205.0,121.0,82.31,1,0.0,424.0,0.0,25.0,3.22
New Brunswick,2020-06-10,151,0,1.0,151,32562.0,121.0,80.13,4,0.0,357.0,0.0,29.0,3.73
New Brunswick,2020-06-11,153,0,1.0,153,32928.0,123.0,80.39,2,0.0,366.0,2.0,29.0,3.73
New Brunswick,2020-06-12,154,0,1.0,154,33327.0,125.0,81.17,1,0.0,399.0,2.0,28.0,3.6
New Brunswick,2020-06-13,157,0,2.0,157,33759.0,126.0,80.25,3,1.0,432.0,1.0,29.0,3.73
New Brunswick,2020-06-14,157,0,2.0,157,33954.0,129.0,82.17,0,0.0,195.0,3.0,26.0,3.35
New Brunswick,2020-06-15,160,0,2.0,160,34261.0,129.0,80.63,3,0.0,307.0,0.0,29.0,3.73
New Brunswick,2020-06-16,163,0,2.0,163,34510.0,131.0,80.37,3,0.0,249.0,2.0,30.0,3.86
New Brunswick,2020-06-17,164,0,2.0,164,34992.0,133.0,81.1,1,0.0,482.0,2.0,29.0,3.73
New Brunswick,2020-06-18,164,0,2.0,164,35355.0,135.0,82.32,0,0.0,363.0,2.0,27.0,3.48
New Brunswick,2020-06-19,164,0,2.0,164,35619.0,135.0,82.32,0,0.0,264.0,0.0,27.0,3.48
New Brunswick,2020-06-20,164,0,2.0,164,36184.0,135.0,82.32,0,0.0,565.0,0.0,27.0,3.48
New Brunswick,2020-06-21,164,0,2.0,164,36375.0,135.0,82.32,0,0.0,191.0,0.0,27.0,3.48
New Brunswick,2020-06-22,164,0,2.0,164,36534.0,135.0,82.32,0,0.0,159.0,0.0,27.0,3.48
New Brunswick,2020-06-23,165,0,2.0,165,36714.0,143.0,86.67,1,0.0,180.0,8.0,20.0,2.57
New Brunswick,2020-06-24,165,0,2.0,165,36979.0,147.0,89.09,0,0.0,265.0,4.0,16.0,2.06
New Brunswick,2020-06-25,165,0,2.0,165,37201.0,149.0,90.3,0,0.0,222.0,2.0,14.0,1.8
New Brunswick,2020-06-26,165,0,2.0,165,37473.0,150.0,90.91,0,0.0,272.0,1.0,13.0,1.67
New Brunswick,2020-06-27,165,0,2.0,165,37714.0,154.0,93.33,0,0.0,241.0,4.0,9.0,1.16
New Brunswick,2020-06-28,165,0,2.0,165,37919.0,158.0,95.76,0,0.0,205.0,4.0,5.0,0.64
New Brunswick,2020-06-29,165,0,2.0,165,38086.0,158.0,95.76,0,0.0,167.0,0.0,5.0,0.64
New Brunswick,2020-06-30,165,0,2.0,165,38261.0,159.0,96.36,0,0.0,175.0,1.0,4.0,0.51
New Brunswick,2020-07-01,165,0,2.0,165,38261.0,159.0,96.36,0,0.0,0.0,0.0,4.0,0.51
New Brunswick,2020-07-02,165,0,2.0,165,38684.0,160.0,96.97,0,0.0,423.0,1.0,3.0,0.39
New Brunswick,2020-07-03,165,0,2.0,165,38883.0,161.0,97.58,0,0.0,199.0,1.0,2.0,0.26
New Brunswick,2020-07-04,165,0,2.0,165,39051.0,162.0,98.18,0,0.0,168.0,1.0,1.0,0.13
New Brunswick,2020-07-05,165,0,2.0,165,39237.0,162.0,98.18,0,0.0,186.0,0.0,1.0,0.13
New Brunswick,2020-07-06,165,0,2.0,165,39435.0,162.0,98.18,0,0.0,198.0,0.0,1.0,0.13
New Brunswick,2020-07-07,165,0,2.0,165,39652.0,162.0,98.18,0,0.0,217.0,0.0,1.0,0.13
New Brunswick,2020-07-08,165,0,2.0,165,39966.0,162.0,98.18,0,0.0,314.0,0.0,1.0,0.13
New Brunswick,2020-07-09,166,0,2.0,166,40257.0,163.0,98.19,1,0.0,291.0,1.0,1.0,0.13
New Brunswick,2020-07-10,166,0,2.0,166,40564.0,163.0,98.19,0,0.0,307.0,0.0,1.0,0.13
New Brunswick,2020-07-11,166,0,2.0,166,40881.0,163.0,98.19,0,0.0,317.0,0.0,1.0,0.13
New Brunswick,2020-07-12,166,0,2.0,166,41137.0,163.0,98.19,0,0.0,256.0,0.0,1.0,0.13
New Brunswick,2020-07-13,166,0,2.0,166,41310.0,163.0,98.19,0,0.0,173.0,0.0,1.0,0.13
New Brunswick,2020-07-14,167,0,2.0,167,41497.0,163.0,97.6,1,0.0,187.0,0.0,2.0,0.26
New Brunswick,2020-07-15,168,0,2.0,168,41838.0,163.0,97.02,1,0.0,341.0,0.0,3.0,0.39
New Brunswick,2020-07-16,168,0,2.0,168,42145.0,163.0,97.02,0,0.0,307.0,0.0,3.0,0.39
New Brunswick,2020-07-17,168,0,2.0,168,42512.0,163.0,97.02,0,0.0,367.0,0.0,3.0,0.39
New Brunswick,2020-07-18,168,0,2.0,168,42835.0,163.0,97.02,0,0.0,323.0,0.0,3.0,0.39
New Brunswick,2020-07-19,169,0,2.0,169,43077.0,163.0,96.45,1,0.0,242.0,0.0,4.0,0.51
New Brunswick,2020-07-20,170,0,2.0,170,43077.0,163.0,95.88,1,0.0,0.0,0.0,5.0,0.64
New Brunswick,2020-07-21,170,0,2.0,170,43535.0,163.0,95.88,0,0.0,458.0,0.0,5.0,0.64
New Brunswick,2020-07-22,170,0,2.0,170,43863.0,165.0,97.06,0,0.0,328.0,2.0,3.0,0.39
New Brunswick,2020-07-23,170,0,2.0,170,44147.0,165.0,97.06,0,0.0,284.0,0.0,3.0,0.39
New Brunswick,2020-07-24,170,0,2.0,170,44480.0,165.0,97.06,0,0.0,333.0,0.0,3.0,0.39
New Brunswick,2020-07-25,170,0,2.0,170,44808.0,165.0,97.06,0,0.0,328.0,0.0,3.0,0.39
New Brunswick,2020-07-26,170,0,2.0,170,44953.0,165.0,97.06,0,0.0,145.0,0.0,3.0,0.39
New Brunswick,2020-07-27,170,0,2.0,170,45157.0,165.0,97.06,0,0.0,204.0,0.0,3.0,0.39
New Brunswick,2020-07-28,170,0,2.0,170,45374.0,165.0,97.06,0,0.0,217.0,0.0,3.0,0.39
New Brunswick,2020-07-29,170,0,2.0,170,45630.0,165.0,97.06,0,0.0,256.0,0.0,3.0,0.39
Newfoundland and Labrador,2020-03-11,0,0,0.0,0,44.0,0.0,0.0,0,0.0,44.0,0.0,,0.0
Newfoundland and Labrador,2020-03-12,0,0,0.0,0,52.0,0.0,0.0,0,0.0,30.0,0.0,,0.0
Newfoundland and Labrador,2020-03-13,0,0,0.0,0,52.0,0.0,0.0,0,0.0,0.0,0.0,,0.0
Newfoundland and Labrador,2020-03-14,0,0,0.0,0,62.0,0.0,0.0,0,0.0,10.0,0.0,,0.0
Newfoundland and Labrador,2020-03-15,0,1,0.0,1,62.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0.19
